,num_predict_words,perplexity
0,2.0,192.054219282998
1,3.0,184.15366861121822
2,4.0,165.32500166266857
3,5.0,161.67415276753783
4,6.0,175.02248017330362
5,7.0,170.9438030457256
6,8.0,168.53209446102682
